timestamp,predictedValue,mean,standardDeviation
2023-08-03 00:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 01:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 02:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 03:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 04:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 05:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 06:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 07:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 08:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 09:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 10:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 11:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 12:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 13:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 14:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 15:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 16:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 17:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 18:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 19:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 20:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 21:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 22:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-03 23:00:00+00:00,,0.27229830622673035,1.1765382289886475
2023-08-04 00:00:00+00:00,2.7811542,0.27229830622673035,1.1765382289886475
2023-08-04 01:00:00+00:00,2.7544458,0.27229830622673035,1.1765382289886475
2023-08-04 02:00:00+00:00,2.7296422,0.27229830622673035,1.1765382289886475
2023-08-04 03:00:00+00:00,2.7104168,0.27229830622673035,1.1765382289886475
2023-08-04 04:00:00+00:00,2.6899614,0.27229830622673035,1.1765382289886475
2023-08-04 05:00:00+00:00,2.6630373,0.27229830622673035,1.1765382289886475
2023-08-04 06:00:00+00:00,2.6358,0.27229830622673035,1.1765382289886475
2023-08-04 07:00:00+00:00,2.6115294,0.27229830622673035,1.1765382289886475
2023-08-04 08:00:00+00:00,2.6232836,0.27229830622673035,1.1765382289886475
2023-08-04 09:00:00+00:00,2.6652234,0.27229830622673035,1.1765382289886475
2023-08-04 10:00:00+00:00,2.7051635,0.27229830622673035,1.1765382289886475
2023-08-04 11:00:00+00:00,2.7434287,0.27229830622673035,1.1765382289886475
2023-08-04 12:00:00+00:00,2.7629929,0.27229830622673035,1.1765382289886475
2023-08-04 13:00:00+00:00,2.7716992,0.27229830622673035,1.1765382289886475
2023-08-04 14:00:00+00:00,2.7773926,0.27229830622673035,1.1765382289886475
2023-08-04 15:00:00+00:00,2.769228,0.27229830622673035,1.1765382289886475
2023-08-04 16:00:00+00:00,2.7610307,0.27229830622673035,1.1765382289886475
2023-08-04 17:00:00+00:00,2.7416,0.27229830622673035,1.1765382289886475
2023-08-04 18:00:00+00:00,2.7056005,0.27229830622673035,1.1765382289886475
2023-08-04 19:00:00+00:00,2.665348,0.27229830622673035,1.1765382289886475
2023-08-04 20:00:00+00:00,2.6089287,0.27229830622673035,1.1765382289886475
2023-08-04 21:00:00+00:00,2.5517588,0.27229830622673035,1.1765382289886475
2023-08-04 22:00:00+00:00,2.4947586,0.27229830622673035,1.1765382289886475
2023-08-04 23:00:00+00:00,2.4363525,0.27229830622673035,1.1765382289886475
